Policy code,Policy,Expert Category
B696-2,Agency.--The term ``Agency'' means the Cybersecurity and Infrastructure Security Agency of the Department of Homeland Security.,Actors
B696-3,"There is established a Federal interagency COVID-19 misinformation and disinformation coordination task force, which shall be led by the Director, or by the designee of the Director. (c) Representatives.-(1) In general.--The task force shall be comprised of not less than 1 representative from each of the following: (A) The Agency. (B) The Global Engagement Center of the Department of State. (C) The Federal Bureau of Investigation. (D) The intelligence community. (E) The Centers for Disease Control and Prevention. (F) The Federal Emergency Management Agency. (G) The Department of Health and Human Services. (H) The National Institutes of Health. (I) The Food and Drug Administration. (J) The Department of the Treasury. (K) The Small Business Administration. (L) The Federal Trade Commission. (M) The Department of Education. (N) The Federal Communications Commission.",Actors
B696-4,"in consultation with the Director of the Centers for Disease Control and Prevention, the Secretary of Health and Human Services, the Secretary of Education, the Director of the Institute of Museum and Library Services, and any non-governmental civil society, privacy, media-literacy, or other public interest entity determined appropriate by the Director, or a designee, and disseminating information literacy, including digital literacy and media literacy, and information resilience public awareness campaigns relating to pandemics.",Actors
B810.1,"Ms. Underwood (for herself, Mr. Payne, Mrs. Demings, and Mr. Thompson of Mississippi) introduced the following bill; which was referred to the Committee on Homeland Security",Context
B810.2,"(a) Threat Assessment.-(1) In general.--The Under Secretary for Intelligence and Analysis of the Department of Homeland Security shall, on an ongoing basis and in consultation with appropriate Federal partners, develop and disseminate to State, local, Tribal, and territorial officials, including officials from law enforcement, public health, fire and emergency medical services, and emergency management agencies, assessments of the potential terrorism implications of malign disinformation operations carried out by terrorist or foreign malicious actors on domestic preparedness for and collective response to terrorism or other homeland security threats. (2) Contents.--The terrorism assessments of malign disinformation operations required under paragraph (1) shall consider the following: (A) Empirical data on malign disinformation operations, including the following: (i) Topics subject to such operations. (ii) Tactics used in such operations. (iii) Characteristics and duration of such operations. (iv) Information on such terrorist or foreign malicious actors carrying out such operations. (B) Details regarding the potential terrorism implications of such operations on domestic preparedness for and collective response to terrorism or other homeland security threats.",Context
B810/2,"(b) Research.-- (1) In general.--The Under Secretary for Science and Technology of the Department of Homeland Security, in consultation with the Under Secretary for Intelligence and Analysis, the Privacy Officer, and the Officer for Civil Rights and Civil Liberties of the Department, shall conduct research to aid in the identification of malign disinformation operations carried out by terrorist or foreign malicious actors by studying documented malign disinformation operations that widely reached Americans that had implications for the preparedness for and response to terrorism or other homeland security threats. Such research shall-(A) examine different patterns and tactics of malign disinformation operations to identify unique signatures; and (B) identify the factors that contribute to effective malign disinformation operations. (2) Counter-approaches.--Together with the research required under paragraph (1), the Under Secretary for Science and Technology of the Department of Homeland Security shall develop recommendations for approaches to counter malign disinformation operations described in such paragraph.",Actors
B810:1,"To require the Under Secretary for Intelligence and Analysis of the Department of Homeland Security to assess, on an ongoing basis, the potential terrorism implications of malign disinformation operations on domestic preparedness for and collective response to terrorism or other homeland security threats,",Issue
B810:2,"Malign Disinformation Operation Defined.--In this section, the term ``malign disinformation operation'' means false information deliberately disseminated by terrorists or foreign malicious actors to misinform the American public in a way that risks undermining domestic preparedness for and collective response to terrorism or other homeland security threats.",Issue
B810-1,"Assessment.-(1) In general.--The Under Secretary for Intelligence and Analysis of the Department of Homeland Security shall, on an ongoing basis and in consultation with appropriate Federal partners, develop and disseminate to State, local, Tribal, and territorial officials, including officials from law enforcement, public health, fire and emergency medical services, and emergency management agencies, assessments of the potential terrorism implications of malign disinformation operations carried out by terrorist or foreign malicious actors on domestic preparedness for and collective response to terrorism or other homeland security threats. (2) Contents.--The terrorism assessments of malign disinformation operations required under paragraph (1) shall consider the following: (A) Empirical data on malign disinformation operations, including the following: (i) Topics subject to such operations. (ii) Tactics used in such operations. (iii) Characteristics and duration of such operations. (iv) Information on such terrorist or foreign malicious actors carrying out such operations. (B) Details regarding the potential terrorism implications of such operations on domestic preparedness for and collective response to terrorism or other homeland security threats.",Actors
B846*1,"Resolved, That the House of Representatives-(1) unequivocally condemns Twitter's biased and unwarranted censorship of the President of the United States, Donald J. Trump;",Instrument
B846*2,(2) strongly disapproves of Twitter's partisan and politically motivated content moderation;,Instrument
B846*3,"(3) demands that Twitter end its discriminatory practices and consistently protect the First Amendment rights of all Americans, including the President of the United States.",Instrument
B846.1,"Whereas there have been instances of apparent leftwing bias in Twitter and other California technology companies; Whereas there has been a demonstrated effort by Twitter to obstruct and interfere with President Trump's ability to get his message through to the American people; Whereas Twitter has followed the lead of some in the biased news media and deemed themselves ``fact checkers'' as a smokescreen to lend its political tactics some false credibility; Whereas Twitter had previously agreed to provide a public social media platform free of censorship, but has not upheld its commitment; Whereas a Twitter staffer deactivated the Twitter account of the President of the United States in 2017 without a legitimate reason; Whereas a politically motivated Twitter staffer erroneously claimed that tweets from the President of the United States on May 27, 2020, contained ``misleading'' information; Whereas Twitter has improperly applied its new ``civic integrity policy'', which protects the free speech of its users; Whereas Twitter's new civic integrity policy standard has not been applied consistently across the Twitter platform; Whereas Twitter has continued its historic lack of transparency in its implementation of the civic integrity policy; Whereas the leader of Facebook, another large social media platform, publicly noted that privately owned social media platforms should not act as ``arbiter[s] of truth''; Whereas, unimpeded by censorship, the President's political challengers continue to use Twitter to promote their political platform and encourage voter participation while Twitter singles out the President's account;",Context
B846_1,"Twitter had previously agreed to provide a public social media platform free of censorship, but has not upheld its commitment;",Channels
B849*3,"(c) Rulemaking.-(1) Responsibilities of federal election commission.--Not later than 90 days after the date of the enactment of this Act, the Federal Election Commission shall establish rules-- (A) regarding the definition of any term whose definition is set forth in section 325 of the Federal Election Campaign Act of 1971 (as added by subsection (a)); (B) regarding the restrictions established under section 325(a) of such Act (as added by subsection (a)) on targeting the dissemination of qualified political advertisements to a specific group of individuals on the basis of any demographic characteristic shared by members of such group, including establishing the criteria for the safe harbors described in paragraphs (1)(B)(ii) and (4)(B) of such section; (C) requiring common data formats for the record required to be maintained under section 325(b) of such Act (as added by subsection (a)) so that all online platforms and intermediaries submit and maintain data online in a common, machine-readable and publicly accessible format; (D) establishing search interface requirements relating to such record, including searches by candidate name, issue, purchaser, and date; and (E) establishing the criteria for the safe harbor exception provided under paragraph (4) of section 325(b) of such Act (as added by subsection (a)). (2) Revision.--After the Commission first establishes rules pursuant to this subsection, the Commission shall revise the rules every 5 years thereafter.",Instrument
B849.2,"Mr. Cicilline (for himself, Mr. Casten of Illinois, Mr. Hastings, Mrs. Hayes, Mr. Johnson of Georgia, and Mr. Lynch) introduced the following bill; which was referred to the Committee on House Administration",Context
B849.3,"Except as provided in paragraph (3), a covered online platform may not target the dissemination of a qualified political advertisement, and a covered intermediary may not arrange for the dissemination of a qualified political advertisement, to a specific group of individuals on the basis of any online behavioral data of such individuals.",Context
B849:2,"Qualified Political Advertisement Defined.--In this section, the term `qualified political advertisement' means any advertisement (including search engine marketing, display advertisements, video advertisements, native advertisements, and sponsorships) that-``(1) is made by or on behalf of a candidate; or ``(2) communicates a message relating to any political matter of national importance, including-``(A) a candidate; ``(B) any election to Federal office; or ``(C) a national legislative issue of public importance.''.",Issue
B849_1,"To amend the Federal Election Campaign Act of 1971 to prohibit online platforms and certain intermediaries from targeting the dissemination of political advertisements to a specific group of individuals on the basis of online behavioral data or on the basis of demographic characteristics shared by members of the group, to require online platforms and certain intermediaries to maintain public records of certain political advertisements",Channels
B849_2,"To amend the Federal Election Campaign Act of 1971 to prohibit online platforms and certain intermediaries from targeting the dissemination of political advertisements to a specific group of individuals on the basis of online behavioral data or on the basis of demographic characteristics shared by members of the group, to require online platforms and certain intermediaries to maintain public records of certain political advertisements, and for other purposes.",Channels
B849_3,"Restrictions on Microtargeting.-- ``(1) Restrictions on advertisements targeted at group of individuals on basis of online behavioral data.-- ``(A) In general.--Except as provided in paragraph (3), a covered online platform may not target the dissemination of a qualified political advertisement, and a covered intermediary may not arrange for the dissemination of a qualified political advertisement, to a specific group of individuals on the basis of any online behavioral data of such individuals.",Channels
B849_4,"a description of the advertisement's audience as predicted by an algorithm, including information on the audience's age, gender, geographic location, race, ethnicity, and political affiliation,",Channels
B849_5,"A description of the advertisement's actual audience as determined on the basis of data provided in an online platform user's profile, including information on the audience's age, gender, geographic location, race, ethnicity, and political affiliation,",Channels
B849_6,"Covered Online Platform Defined.--In this section, the term `covered online platform' means any public facing website, web application, or digital application (including a social network or search engine) which sells qualified political advertisements and has 50,000,000 or more unique monthly United States visitors or users for a majority of months during the preceding 12 months",Channels
B849_7,"Covered Intermediary Defined.--In this section, the term `covered intermediary' means a digital advertising platform or advertising system (including an ad server, ad network, ad exchange, and any other advertising technology intermediary) which participates in the delivery of 100,000,000 advertisements that can be viewed in the United States for a majority of months during the preceding 12 months.",Channels
B849-1,"(b) Enhanced Criminal Penalty for Violations.--Section 309(d)(1) of such Act (52 U.S.C. 30109(d)(1)) is amended by adding at the end the following new subparagraph: ``(E) Any covered online platform or covered intermediary, or an officer or director of a covered online platform or covered intermediary, who knowingly and willfully commits a violation of section 325 shall be imprisoned not more than 5 years, fined under title 18, United States Code, or both.''",Actors
B849-2,"(c) Rulemaking.-(1) Responsibilities of federal election commission.--Not later than 90 days after the date of the enactment of this Act, the Federal Election Commission shall establish rules",Actors
B885*1,"shall be fined under title 18, United States Code, imprisoned for not more than 1 year, or both, except that if the person has previously been convicted under this subsection, such person shall be fined under such title, imprisoned for not more than 5 years, or both.",Instrument
B885*2,"shall be fined under title 18, United States Code, imprisoned for not more than 1 year, or both, except that if the person commits the offense with the intent to solicit a response by emergency personnel, such person may be fined under such title or imprisoned for not more than 6 years, or both",Instrument
B885.1,Mr. Kinzinger introduced the following bill; which was referred to the Committee on the Judiciary,Context
B885/1,"Whoever causes financial or physical harm, or threatens financial or physical harm to any individual, and uses the name or likeness of another individual",Actors
B885_1,To prohibit the creation and use of fake social media accounts or profiles and the sending of fraudulent emails or other electronic messages.,Channels
B886-1,To direct the Secretary of Health and Human Services to award grants or contracts to public or private entities to carry out a national awareness campaign to increase factual awareness and knowledge of COVID-19.,Actors
B886-2,"SECTION 1. AWARENESS CAMPAIGN. (a) In General.--The Secretary of Health and Human Services, acting through the Director of the Centers for Disease Control and Prevention and in coordination with other offices and agencies, as appropriate, shall award competitive grants or contracts to one or more public or private entities to carry out a national awareness campaign to increase factual awareness and knowledge of COVID-19. (b) Components.--The campaign under subsection (a) shall include-(1) multilingual and culturally appropriate information and distribution strategies; (2) information based on available scientific evidence; (3) an emphasis on countering stigma and shame, such as harmful and false accusations regarding origination of the virus; and (4) scientific data countering propaganda related to viral origination.",Actors
B887.1,Mr. Kinzinger introduced the following bill; which was referred to the Committee on Energy and Commerce,Context
B887/1,"To prohibit the creation and use of fake social media accounts or profiles and the sending of fraudulent emails or other electronic messages, and to require certain social media companies to remove fake or harmful accounts and profiles from their platforms.",Actors
B887/2,"(a) In General.--Not later than one year after the date of enactment of this Act, the Commission shall issue regulations under section 553 of title 5, United States Code, to require social media companies to remove deceptive or fraudulent accounts or profiles from their social media platforms and, to the greatest extent practicable, verify the creator of such accounts. (b) Required Components.--The regulations issued under this section shall include and be limited to the following requirements for social media companies:",Actors
B887_1,Prohibit the creation and use of fake social media accounts or profiles and the sending of fraudulent emails or other electronic messages.,Channels
B887_2,"Establishment of a readily available means by which an individual user may request a social media company to investigate and remove a deceptive account or profile or multiple similar accounts or profiles, including a requirement that the social media company, upon notification of a verified complaint regarding a deceptive user account or profile as described in this Act, responds expeditiously within a reasonable time, but no later than 45 days, to remove, or disable access to, any deceptive account or profile and any other materials and messages published through that account or profile named in such request. The Commission shall include instructions on its internet website on how a user may make such a request to a social media company. (2) If, after an investigation into the deceptive account or profile requested to be removed under paragraph (1), a social media company determines such account or profile is not deceptive, the social media company shall expeditiously within a reasonable time, but no later than 45 days, notify the individual submitting the request the reasons for making such determination. Such notification shall provide such individual the website address (or a hyperlink to such address) to the Commission's web page so that the individual may register a complaint with the Commission that the social media company may not be in compliance with the regulations issued under this section. (3) A requirement that a social media company take escalating actions against individuals who make false or bad faith requests under paragraph (1), including a warning, suspension of any accounts of such individuals, and banning such individuals from the social media platform.",Channels
B887_3,"(c) Public Comment on Other Matters To Be Considered.-(1) In general.--The Commission shall solicit public comment on including in its rulemaking-(A) the most effective, feasible, and appropriate means for a social media company to verify that an account or profile is not deceptive and contrary to the purpose of this Act; (B) the feasibility, potential effectiveness, and appropriateness of a requirement for social media companies to develop programs to conduct reverse-image searches across the social media company's social media platform, and across the internet to determine if any image of an individual used as a profile picture for a user is-- (i) such individual's actual likeness; or (ii) an image also used by other users; and (C) a requirement that if a social media company determines that a user's profile picture is not their unique likeness after the reviews conducted pursuant to paragraph (2) to flag the account or profile for additional screening and review in an effort to determine if an account is deceptive for purposes of this Act. (2) Limitation.--Any reverse-image searches conducted by a social media company pursuant to a rulemaking under this section shall be conducted for the sole purpose of determining if an account or profile on such company's social media platform is deceptive for purposes of this Act.",Channels
B887-2,"(1) Establishment of a readily available means by which an individual user may request a social media company to investigate and remove a deceptive account or profile or multiple similar accounts or profiles, including a requirement that the social media company, upon notification of a verified complaint regarding a deceptive user account or profile as described in this Act, responds expeditiously within a reasonable time, but no later than 45 days, to remove, or disable access to, any deceptive account or profile and any other materials and messages published through that account or profile named in such request. The Commission shall include instructions on its internet website on how a user may make such a request to a social media company. (2) If, after an investigation into the deceptive account or profile requested to be removed under paragraph (1), a social media company determines such account or profile is not deceptive, the social media company shall expeditiously within a reasonable time, but no later than 45 days, notify the individual submitting the request the reasons for making such determination. Such notification shall provide such individual the website address (or a hyperlink to such address) to the Commission's web page so that the individual may register a complaint with the Commission that the social media company may not be in compliance with the regulations issued under this section. (3) A requirement that a social media company take escalating actions against individuals who make false or bad faith requests under paragraph (1), including a warning, suspension of any accounts of such individuals, and banning such individuals from the social media platform.",Actors
B887-3,"The Commission shall solicit public comment on including in its rulemaking-(A) the most effective, feasible, and appropriate means for a social media company to verify that an account or profile is not deceptive and contrary to the purpose of this Act; (B) the feasibility, potential effectiveness, and appropriateness of a requirement for social media companies to develop programs to conduct reverse-image searches across the social media company's social media platform, and across the internet to determine if any image of an individual used as a profile picture for a user",Actors
B887-4,"(a) Unfair or Deceptive Acts or Practices.--A violation of a regulation issued under section 3 shall be treated as an unfair and deceptive act or practice in violation of a regulation under section 18(a)(1)(B) of the Federal Trade Commission Act (15 U.S.C. 57a(a)(1)(B)) regarding unfair or deceptive acts or practices. (b) Powers of Commission.--The Commission shall enforce this Act in the same manner, by the same means, and with the same jurisdiction, powers, and duties as though all applicable terms and provisions of the Federal Trade Commission Act (15 U.S.C. 41 et seq.) were incorporated into and made a part of this Act, and any social media company subject to the Commission's authority who violates this Act shall be subject to the penalties and entitled to the privileges and immunities provided in the Federal Trade Commission Act (15 U.S.C. 41 et seq.). Nothing in this Act shall be construed to limit the authority of the Federal Trade Commission under any other provision of law.",Actors
B889*1,"(2) affirms the unanimous consensus of the medical community that SARS-CoV-2 emerged in Wuhan, China, and spread through the nexus of the Huanan Seafood Wholesale Market in that city; (3) is encouraged by the People's Republic of China's decision to permanently ban the sale of wild animals for human consumption and calls on it to sustain and strengthen these policies; (4) calls on all governments to permanently close live wildlife markets; (5) calls on the World Health Organization to advise member states to close live wildlife markets around the world; (6) calls on the Chinese Communist Party officials and the propaganda organs of the Chinese Communist Party to cease spreading disinformation on the origins of, and initial response to, SARS-CoV-2; and (7) affirms the importance of the link between animal and human health and affirms the importance of continued research regarding zoonotic disease threats to humans.",Instrument
B889.1,"Whereas, in December 2019 and early 2020, Chinese Communist Party officials initially sought to cover up the outbreak and have not been sufficiently transparent with the global community regarding the emergence and initial spread of SARS-CoV-2; Whereas Chinese Communist Party officials have spread disinformation to cast doubt on the facts surrounding the emergence and initial spread of SARSCoV-2; Whereas Chinese Communist Party officials have suggested, without evidence and in opposition to the widespread views of the medical community, that the United States Army brought SARS-CoV-2 to China;",Context
B889.2,"(6) calls on the Chinese Communist Party officials and the propaganda organs of the Chinese Communist Party to cease spreading disinformation on the origins of, and initial response to, SARS-CoV-2;",Context
B889:1,Expressing the sense of the House of Representatives that all nations should permanently close live wildlife markets and that the People's Republic of China should cease spreading disinformation regarding the origins of coronavirus.,Issue
B894*1,Representatives-(1) calls on the Chinese Government to-(A) publicly state that there's no evidence that COVID-19 originated anywhere else but China; (B) denounce the baseless conspiracy that the United States Army placed COVID-19 in Wuhan; (C) revoke its expulsion of American journalists; (D) end its detainment of Uyghur Muslims and other persecuted ethnic minorities; and (E) end all forced labor programs;,Instrument
B894.1,"which include the Chinese Government's intentional spread of misinformation to downplay the risks of the virus, a refusal to cooperate with international health authorities,",Context
B894.10,"Whereas, on March 17, 2020, China expelled American nationals working at the Wall Street Journal, Washington Post, and New York Times, reducing the spread of reliable information on the COVID-19 outbreak in China; and",Context
B894.2,"internal censorship of doctors and journalists, and malicious disregard for the health of ethnic minorities.",Context
B894.3,"Whereas Chinese Government records suggest that the first human became infected with COVID-19 on November 17, 2019, in China's Hubei Province; Whereas, on December 27, 2019, Zhang Jixian, a doctor from the Hubei Provincial Hospital of Chinese and Western Medicine alerted China's health authorities that several individuals exhibiting mysterious, flu-like symptoms, were infected with a novel strain of coronavirus; Whereas Dr. Yu Wenbin and a team of researchers from Xishuangbanna Tropical Botanical Garden reported that the Huanan Seafood Wholesale Market greatly contributed to the spread of COVID-19 throughout the city of Wuhan; Whereas the Chinese Government waited five days after being informed of cases of a dangerous new strain of coronavirus concentrated around Wuhan's openair market to shut down of the Huanan Seafood Wholesale Market in Wuhan; Whereas Zhou Xianwang, the mayor of Wuhan, stated that 5,000,000 of Wuhan's 14,000,000 residents left the city before the Chinese Government imposed a lockdown; Whereas, on December 30, 2019, Ai Fen, director of Wuhan Central Hospital's emergency department, shared a diagnostic report on the then unknown COVID-19 virus with a group of doctors through the social media application WeChat; Whereas, on December 30, 2019, Dr. Li Wenliang, warned his medical school classmates of an outbreak of an unknown SARS-like virus over WeChat; Whereas, on December 31, 2019, Wuhan Central Hospital authorities formally reprimanded Fei for ``spreading rumors'' about the virus; Whereas, on January 1, 2020, an official at the Hubei Provincial Health Commission ordered at least one private genomics testing company to cease testing samples of a SARS-like virus from Wuhan and to destroy all existing samples of the virus; Whereas, on January 3, 2020, Wuhan's Public Security Bureau detained, questioned and forced Dr. Li Wenliang and seven other doctors to sign a letter confessing he had made ``false comments'' that ``severely disturbed the social order''; Whereas, on January 3, 2020, the leading public health authority in China, the National Health Commission, directed all Chinese research institutions to cease publicly publishing any information related to a then unknown SARS-like virus, and ordered them to destroy existing samples of the virus or transfer them to approved testing sites; Whereas the Centers for Disease Control first asked permission to study COVID-19 within China on January 6, 2020, but was barred by the Chinese Government from entering the country until mid-February; Whereas Chinese authorities first publicly confirmed the existence of COVID-19 on January 9, 2020, 14 days after the presence of a novel strain of coronavirus was internally confirmed;",Context
B894.4,"Whereas China's National Health Commission publicly denied COVID-19 was personto-person transmissible until January 15, 2020, despite having uncovered contrary evidence in late December and being alerted of the transmissibility of COVID-19 on January 1, 2020; Whereas, on January 18, 2020, over 10,000 families attended the city of Wuhan's annual Lunar New Year Banquet, which was organized and sponsored by the Wuhan city government; Whereas the People's Daily, the largest newspaper in China, first reported on the coronavirus on January 21, 2020, nearly a month after the virus was internally confirmed; Whereas, on February 7, 2020, one month after checking into Wuhan Central Hospital, Dr. Li Wenliang died of a severe case of COVID-19;",Context
B894.5,"Whereas the COVID-19 outbreak has disproportionately harmed China's persecuted Uyghur Muslim minority as a result of the following actions taken by the Chinese Government-- (1) the detention of over 1,000,000 Uyghur Muslims and other ethnic minorities in ``re-education camps'', whose crowded and unsanitary conditions makes the camps hotspots for viral disease and leave prisoners at an elevated risk of contracting COVID-19; (2) as reported by Uyghur Human Rights Project, and corroborated by video evidence and Radio Free Asia, an unannounced and strictly enforced quarantine of millions of residents in its predominantly Uyghur Muslim Xinjiang Province around January 24, 2020, resulted in mass starvation and shortages of basic medical supplies; and (3) on February 25, 2020, Xinhua News Service reported that China had ``re-located'' 30,000 Uyghur laborers to temporarily shuttered factories in the Hotan prefecture, exposing them to health risks the Chinese Government deemed unacceptable for the ethnically Han majority;",Context
B894.6,"Whereas the Centers for Disease Control, being the premier infectious disease research institution in the world, was well situated at the beginning of the COVID-19 outbreak to both assist China's response and prepare the United States to handle the virus should it spread internationally; Whereas China's National Health Commission failed to include individuals who tested positive for COVID-19 but remained asymptomatic in its daily tally of confirmed COVID-19 cases, hampering American public health authorities' ability to accurately account for the health risks of infection and spread rate of the virus;",Context
B894.7,"Whereas Chinese Foreign Ministry Spokesman, Zhao Lijian, claimed that COVID-19 originated in the United States and that the United States Army brought the virus to Wuhan to wage biological warfare on China;",Context
B894.8,"Whereas other Chinese Government officials including scientists working on China's COVID-19 response, China's Ambassador to South Africa and China's Ambassador to Australia have claimed that there is no evidence that COVID-19 originated in China;",Context
B894.9,"Whereas, on March 4, 2020, Xinhua News Agency, an official mouthpiece of the Chinese Government, published an article threatening to cut off medical supply exports to the United States and ``plunge [the United States] into the mighty sea of coronavirus'';",Context
B894:1,"Expressing the sense of the House of Representatives that the Government of the People's Republic of China made multiple, serious mistakes in the early stages of the COVID-19 outbreak that heightened the severity and spread of the ongoing COVID-19 pandemic, which include the Chinese Government's intentional spread of misinformation to downplay the risks of the virus, a refusal to cooperate with international health authorities, internal censorship of doctors and journalists, and malicious disregard for the health of ethnic minorities.",Issue
B894:2,(B) denounce the baseless conspiracy that the United States Army placed COVID-19 in Wuhan;,Issue
B894_1,"Whereas Chinese Foreign Ministry Spokesman, Zhao Lijian, claimed that COVID-19 originated in the United States and that the United States Army brought the virus to Wuhan to wage biological warfare on China; Whereas other Chinese Government officials including scientists working on China's COVID-19 response, China's Ambassador to South Africa and China's Ambassador to Australia have claimed that there is no evidence that COVID-19 originated in China; Whereas, on March 4, 2020, Xinhua News Agency, an official mouthpiece of the Chinese Government, published an article threatening to cut off medical supply exports to the United States and ``plunge [the United States] into the mighty sea of coronavirus'';",Channels
B894-1,"Resolved, That the House of Representatives-(1) calls on the Chinese Government to-(A) publicly state that there's no evidence that COVID-19 originated anywhere else but China; (B) denounce the baseless conspiracy that the United States Army placed COVID-19 in Wuhan; (C) revoke its expulsion of American journalists; (D) end its detainment of Uyghur Muslims and other persecuted ethnic minorities; and",Actors
B894-2,"(2) condemns-(A) the Chinese Government's censorship of doctors and journalists during the early days of the outbreak and particularly its treatment of the deceased Dr. Li Wenliang; (B) the Chinese Government's refusal to allow scientists from the Centers for Disease Control to assist its response to COVID-19 for over a month after cooperation was offered, needlessly endangering the lives of its own citizens and hampering the United States early attempts to learn more about COVID-19; and (C) China's National Health Commissions' duplicitous denial of the person-to-person transmissibility of COVID-19;",Actors
B894-3,"(3) calls for the World Health Organization Director- General Dr. Tedros Adhanom Ghebreyesus to retract highly misleading statements of support for the Chinese Government's response to COVID-19, especially his praise for the ``commitment from [China's] top leadership, and the transparency they have demonstrated''",Actors
H056.1,"At the same time, they were lining their own pockets. Between 1990 and 2019, the four oil companies here today reported nearly $2 trillion in profits, but the costs of inaction on climate have been far higher. The American people lost more than 30 years when we could have curbed climate change. Today we face stronger hurricanes, dangerous wildfires, and destructive floods.",Context
H056/1,"This is a historic hearing. For the first time, top fossil fuel executives are testifying together before Congress under oath about the industrys role in causing climate change and their efforts to cover it up.",Actors
H056_1,"Yet API and its front group, Energy Citizens, have carried out a seven-figure TV and internet ad campaign to defeat the Build Back Better methane emissions fee.",Channels
H056_2,"Now, let me tell you what the fossil fuel companies have not produced. These organizations have not produced the detailed funding information that we requested and that we need to understand their payments to shadow groups and to 150 public relations companies, and advertisements on social media payments, payments that todays witnesses seem intent on continuing.",Channels
H301*1,educate the public and our service members about these dangers.,Instrument
H301*2,We must also articulate a vision for the information environment and delineate thresholds of behavior that will trigger a response. So I was sort of encouraged when the National Security Commission on Artificial Intelligence recommended that the United States develop a new strategy to counter disinformation while investing in technology to counter artificial intelligence-enabled information warfare.,Instrument
H301.1,"The United States is challenged in the information environment daily. Competitors like China, Russia, and violent extremist organizations use information warfare to achieve their objectives, while”below the threshold of armed conflict, as they seek to avoid traditional U.S. military advantages, and undermine the free international order and democratic values. The recently released Annual Threat Assessment of the U.S. intelligence community makes clear that a variety of state and nonstate actors weaponize information to undermine the United States by sowing discord among our citizens, influencing decision makers, and reversing what had once been a strength of our Nations historical information advantage. So, I often focus on what lies ahead in defense, but it is worth noting that the United States and the military are facing momentous challenges in the information environment right now, which can undermine the very fabric of our democracy.",Context
H301.3,"Instead, China, Russia, Iran, and non-state actors alike, are weaponizing information to undermine the United States and our interests, employing asymmetric information capabilities, rather than engaging us in traditional military means.",Context
H301.4,"Therefore, we must be prepared to not just resist information operations and defend our interests, but also project our own capabilities to exploit and shape the information environment.",Context
H301/2,"according to the National Security Commission on Artificial Intelligence, state adversaries are employing artificial intelligence enabled disinformation attacks to sow division in democracies and disrupt the publics sense of reality.",Actors
H301/3,"Instead, China, Russia, Iran, and non-state actors alike, are weaponizing information to undermine the United States and our interests, employing asymmetric information capabilities, rather than engaging us in traditional military means.",Actors
H301/4,"foreign cyber-propelled disinformation is likely to get much worse, to the extent that we would have difficulty in fending off weaponized disinformation coming from a sophisticated foe. Indeed, the recent final report of the National Security Commission on Artificial Intelligence cited a, quote, gathering storm of foreign influence and interference, and asserted that our foreign foes will use artificial intelligence systems to enhance their disinformation campaigns, including by creating undetectable, deep-fake videos and audio recordings.",Actors
H301:2,"perhaps the most pernicious aspect of the digital revolution, disinformation, intentionally misleading, erroneous information threatens our very democracy, leading to mistrust of institutions, cynicism about our leaders, and skepticism about our ability to solve social problems",Issue
H301_1,"And what makes these threats particularly powerful is that foreign adversaries can target U.S. and allied citizens almost instantly without crossing physical boundaries or borders. These threats will only grow as artificial intelligence, machine learning, and other technology-enabled information operations exponentially increase the speed and the scope of the danger. So according to the National Security Commission on Artificial Intelligence, state adversaries are employing artificial intelligence enabled disinformation attacks to sow division in democracies and disrupt the publics sense of reality.",Channels
H301_2,I was sort of encouraged when the National Security Commission on Artificial Intelligence recommended that the United States develop a new strategy to counter disinformation while investing in technology to counter artificial intelligence-enabled information warfare.,Channels
H301_3,"In the last decade, we have seen how a short video, photo, or social media post, can have a profound impact on the geopolitical landscape.",Channels
H301_4,"Returning to my first point, with three out of four Americans getting some or all of their news from social media platforms, disinformation could specifically affect our military in concerning ways.",Channels
H417.1,"We are seeing unprecedented threats to our democracy and a disturbing rise of authoritarian actors. Anti-democratic forces have capitalized on the rapidly evolving information environment to spread disinformation and misinformation, and exploit fissures in our society.",Context
H417.2,"The 2018 National Defense Strategy stated that the homeland is no longer a sanctuary. Our adversaries use of information and technology has proven that out. They craft and feed misinformation to our news outlets and social media about the safety of vaccines, for example, the efficacy of our institutions, and the depth of our differences, and then they weaponize our own reactions to that misinformation.",Context
H417.3,"How are we making sure that information about the malign activity of Russia and China is not overclassified, and how are you synchronizing with the State Department and with partners and allies to combat these threats? Information operations is one way that the United States can protect itself and its partners against dis- and mis-information efforts by China and Russia. We should aspire for cohesion and breadth. We must develop a comprehensive influence strategy to truly protect our borders, our allies, and our interests.",Context
H417_1,"They craft and feed misinformation to our news outlets and social media about the safety of vaccines, for example, the efficacy of our institutions, and the depth of our differences, and then they weaponize our own reactions to that misinformation.",Channels
H717.1,"More than a year ago, this subcommittee launched an investigation into digital markets. Our two objectives have been to document competition problems in the digital economy and to evaluate whether the current antitrust framework is able to properly address them.",Context
H717.4,"As gatekeepers of the digital economy, these platforms enjoy the power to pick winners and losers, to shake down small businesses, and enrich themselves while choking off competitors. Their ability to dictate terms, call the shots, upend entire sectors, and inspire fear represent the powers of a private government. Our Founders would not bow before a king, nor should we bow before the emperors of the online economy",Context
